league_name,level_category_points,league_points_f13
omha-u18,74.18181818,1700.0
oshl,70.04545455,1400.0
owha-w,61.77272727,1000.0
owhl-u15-aa-w,61.77272727,1000.0
owhl-u18-aa-w,70.04545455,1400.0
owhl-u22-aa-w,78.31818182,2000.0
pcbhl,57.63636364,800.0
pcha,70.04545455,1400.0
peewee,53.5,600.0
pei-u15,65.90909091,1200.0
pei-u18,70.04545455,1400.0
peijchl,70.04545455,1400.0
phc,70.04545455,1400.0
phf-w,70.04545455,1400.0
phl-u15,65.90909091,1200.0
phl-u16,70.04545455,1400.0
phl-u18,70.04545455,1400.0
pijhl-1,70.04545455,1400.0
pijhl-2,70.04545455,1400.0
pjchl,70.04545455,1400.0
pjhl,65.90909091,1200.0
pmhl,70.04545455,1400.0
pphl-18u,65.90909091,1200.0
pphl-19u-w,70.04545455,1400.0
prospects-challenge,16.27272727,0.0
pshf-u16,65.90909091,1200.0
pshf-u18,74.18181818,1700.0
pwhl-w,70.04545455,1400.0
qchl,53.5,600.0
qchl-d2,53.5,600.0
qchl-d2-w,53.5,600.0
qchl-w,53.5,600.0
qihl-b2,53.5,600.0
qjhl,74.18181818,1700.0
qm15aa,61.77272727,1000.0
qm15aa-w,61.77272727,1000.0
qm15aaa,65.90909091,1200.0
qm15aaa-e,65.90909091,1200.0
qm15aaa-w,65.90909091,1200.0
qm15bb,53.5,600.0
qm17aaa,74.18181818,1700.0
qm18a,65.90909091,1200.0
qm18aa,70.04545455,1400.0
qm18aa-w,74.18181818,1700.0
qm18aaa,78.31818182,2000.0
qm18aaa-w,78.31818182,2000.0
qm18b,57.63636364,800.0
qm18bb,61.77272727,1000.0
qm21aa-w,78.31818182,2000.0
qmjhl,94.86363636,3600.0
qmjhl-cup,70.04545455,1400.0
qsphl,70.04545455,1400.0
qvhhl,70.04545455,1400.0
qvjhl,70.04545455,1400.0
rhl,70.04545455,1400.0
ricbaa,61.77272727,1000.0
rmfhl-w,70.04545455,1400.0
rseq-d2,65.90909091,1200.0
rseq-m14-d3,61.77272727,1000.0
rseq-m15-d1,65.90909091,1200.0
rseq-m15-d1-r,65.90909091,1200.0
rseq-m15-d2,61.77272727,1000.0
rseq-m15-d3,57.63636364,800.0
rseq-m18-d1,78.31818182,2000.0
rseq-m18-d1-r,78.31818182,2000.0
rseq-m18-d2,74.18181818,1700.0
rseq-m18-d3,70.04545455,1400.0
saahl-u15,61.77272727,1000.0
saahl-u16,65.90909091,1200.0
saahl-u18,74.18181818,1700.0
sashl,70.04545455,1400.0
saskehl,70.04545455,1400.0
saskphl,70.04545455,1400.0
scmhl,74.18181818,1700.0
scwhl-w,70.04545455,1400.0
semhl,70.04545455,1400.0
sfhl-u18-w,74.18181818,1700.0
sfmaaahl-w,70.04545455,1400.0
sijhl,65.90909091,1200.0
