league_name,level_category_points,league_points_f13
asia-league,70.04545455,1400
j-ice-north,61.77272727,1000
j-ice-west,61.77272727,1000
japan,70.04545455,1400
japan-w,70.04545455,1400
jp-univ,61.77272727,1000
jphs,57.63636364,800
jpjhs,57.63636364,800
kazakhstan,78.31818182,2000
kazakhstan-jastar,86.59090909,2800
kazakhstan-other,61.77272727,1000
kazakhstan-u16,65.90909091,1200
kazakhstan-u16-2,61.77272727,1000
kazakhstan-u17,70.04545455,1400
kazakhstan-w,78.31818182,2000
kazakhstan2,74.18181818,1700
russia-u17,74.18181818,1700
russia-u18,78.31818182,2000
wc-d1b-w,8.0,0
wjc-18-d2a-w,8.0,0
ccoa-u20-d1,53.5,600
kuwait-w,53.5,600
ccoa-d1,49.36363636,500
baltic-w,86.59090909,2800
latvia-other,74.18181818,1700
latvia-u17,70.04545455,1400
latvia2,74.18181818,1700
lithuania,70.04545455,1400
lithuania-u17,61.77272727,1000
lithuania-w,70.04545455,1400
lithuania2,65.90909091,1200
luxembourg,70.04545455,1400
mexico,53.5,600
mongolia,53.5,600
netherlands-u17,65.90909091,1200
netherlands-u23,70.04545455,1400
netherlands2,65.90909091,1200
netherlands3,61.77272727,1000
netherlands4,57.63636364,800
nzihl,61.77272727,1000
nzwihl-w,61.77272727,1000
scotland-u16,57.63636364,800
scotland-u19,70.04545455,1400
norway,90.72727273,3100
norway-other,57.63636364,800
norway-u16,65.90909091,1200
norway-u16-2,61.77272727,1000
norway-u16-3,57.63636364,800
norway-u18,74.18181818,1700
norway-u18-2,70.04545455,1400
norway-u18-3,65.90909091,1200
norway-u20,82.45454545,2400
norway-u20-2,78.31818182,2000
norway-u21,82.45454545,2400
norway-w,90.72727273,3100
norway2,82.45454545,2400
norway2-w,82.45454545,2400
norway3,78.31818182,2000
norway4,74.18181818,1700
norway5,70.04545455,1400
norway6,65.90909091,1200
norway7,61.77272727,1000
mihl-phi,49.36363636,500
phihl,53.5,600
eehl,16.27272727,0
euhl,16.27272727,0
poland,70.04545455,1400
poland-other,49.36363636,500
poland-u16,65.90909091,1200
poland-u18,70.04545455,1400
poland-u20,74.18181818,1700
poland-w,70.04545455,1400
poland2,65.90909091,1200
poland3,61.77272727,1000
poland4,57.63636364,800
slovakia-u18-2,74.18181818,1700
spain,61.77272727,1000
romania,70.04545455,1400
romania-u16,57.63636364,800
romania-u18,61.77272727,1000
romania-u20,65.90909091,1200
romania-w,70.04545455,1400
mshl1,78.31818182,2000
mshl2,74.18181818,1700
mshl3,70.04545455,1400
nmhl,82.45454545,2400
rshl1,78.31818182,2000
rshl2,74.18181818,1700
russia-u16,70.04545455,1400
russia-u16-2,65.90909091,1200
russia-u16-3,61.77272727,1000
russia-u17-2,70.04545455,1400
russia-u17-3,65.90909091,1200
russia-u18-2,74.18181818,1700
russia-w,90.72727273,3100
shlc,70.04545455,1400
shlspb1,65.90909091,1200
shlspb2,61.77272727,1000
sibshl,65.90909091,1200
vhl,90.72727273,3100
inthl-u17,65.90909091,1200
slovenia-other,70.04545455,1400
slovakia,90.72727273,3100
slovakia-other,74.18181818,1700
slovakia-u16,70.04545455,1400
slovakia-u16-2,65.90909091,1200
slovakia-u18,78.31818182,2000
slovakia-u20,86.59090909,2800
slovakia-u20-2,78.31818182,2000
slovakia-w,90.72727273,3100
slovakia2,86.59090909,2800
slovakia3,82.45454545,2400
slovenia-u19,78.31818182,2000
gphl,53.5,600
south-africa,49.36363636,500
wpihl,57.63636364,800
kihl,70.04545455,1400
korea-college,45.22727273,400
korea-hs,49.36363636,500
kwhl-w,70.04545455,1400
spain-u18,57.63636364,800
spain-u20,61.77272727,1000
spain-w,65.90909091,1200
spain2,61.77272727,1000
damjunior-w,86.59090909,2800
division-2,82.45454545,2400
division-2-w,82.45454545,2400
division-3,78.31818182,2000
division-3-w,78.31818182,2000
division-4,74.18181818,1700
division-5,70.04545455,1400
fhl-xl-w,74.18181818,1700
hockeyallsvenskan,90.72727273,3100
hockeyettan,86.59090909,2800
sdhl-w,94.86363636,3600
shl,94.86363636,3600
suhl,70.04545455,1400
tv-pucken,70.04545455,1400
tv-pucken-w,70.04545455,1400
u16-div.1,65.90909091,1200
u16-div.2,61.77272727,1000
u16-region,70.04545455,1400
u18-div.1,74.18181818,1700
u18-div.2,70.04545455,1400
u18-region,78.31818182,2000
u18-region-w,78.31818182,2000
u20-div.1,78.31818182,2000
u20-nationell,86.59090909,2800
u20-region,82.45454545,2400
myhl,82.45454545,2400
nl,94.86363636,3600
sl,90.72727273,3100
swhl-a-w,90.72727273,3100
swhl-b-w,86.59090909,2800
swhl-c-w,86.59090909,2800
swhl-d-w,82.45454545,2400
swiss-u16-a,61.77272727,1000
swiss-u16-elit,70.04545455,1400
swiss-u16-top,65.90909091,1200
swiss-u18-a,70.04545455,1400
swiss-u18-elit,78.31818182,2000
swiss-u18-top,74.18181818,1700
swiss-u21-a,78.31818182,2000
swiss-u21-elit,86.59090909,2800
swiss-u21-top,82.45454545,2400
swissdiv1,78.31818182,2000
swissdiv2,74.18181818,1700
switzerland-other,61.77272727,1000
siamhl,53.5,600
twhl,53.5,600
turkey,65.90909091,1200
turkey-u18,57.63636364,800
turkey-u20,61.77272727,1000
turkey-w,65.90909091,1200
turkey2,61.77272727,1000
uae,53.5,600
13u-a,49.36363636,500
13u-aaa,57.63636364,800
14u-a-w,53.5,600
14u-aa,57.63636364,800
14u-aa-w,57.63636364,800
14u-aaa-w,61.77272727,1000
14u-b,49.36363636,500
15u-b,53.5,600
15u-b-w,53.5,600
15u-b1,53.5,600
15u-c,49.36363636,500
16u-a,61.77272727,1000
16u-aa-w,65.90909091,1200
16u-aaa-w,70.04545455,1400
18u-aa,74.18181818,1700
19u-a-w,74.18181818,1700
aaha,74.18181818,1700
aau,74.18181818,1700
aau-fed,65.90909091,1200
aau-iii,65.90909091,1200
aau-w,74.18181818,1700
acha,74.18181818,1700
acha-iii,65.90909091,1200
acha-w,74.18181818,1700
achl,70.04545455,1400
aghf-14u-w,57.63636364,800
aghf-16u-w,65.90909091,1200
aghf-19u-w,78.31818182,2000
aha,74.18181818,1700
ahf-13u,53.5,600
ahf-14u,57.63636364,800
ahf-15u,61.77272727,1000
ahf-16u,65.90909091,1200
ahf-18u,74.18181818,1700
all-ahl,70.04545455,1400
amerahl,70.04545455,1400
amha,70.04545455,1400
aphl,70.04545455,1400
ayhl-13u,57.63636364,800
ayhl-14u,61.77272727,1000
ayhl-15u,65.90909091,1200
ayhl-16u,70.04545455,1400
ayhl-18u,78.31818182,2000
